orderNo,startTime,endTime,speaker,contentType,transcript,disfluency1,disfluency2,translation
1,121.816894,132.263764,1,speech,"Uncle నమస్తే. Thank you very much for coming uncle. ఆ five years back మిమ్మల్ని మి ఇంట్లో కలిసినప్పుడు ఎలా ఉన్నారో ఇప్పుడూ అలానే ఉన్నారు first thing [LAUGH] and అప్పుడు మేము ఒక నలుగురం కలసి start చేసుకున్న business ఇప్పుడు మీరు చూస్తున్నారు office గాని ఇవన్నీ.",0000000001000000000000111000000000000000,NULL,"Hello Uncle. Thank you very much for coming uncle. Five years back, you were still the same as when I met you at your house. Then we started a business together with four of us. Now you are looking at office or all these."
2,132.263764,133.645351,2,overlap,NULL,NULL,NULL,NULL
3,133.645351,144.107626,1,speech,"Thank you very much for that support ఆ time లొ. మేము అదే video ని add ల use చేసుకున్నాం starting లొ అయితె తరువాత తరువాత మెళ్లిగా profile build చేసుకోడం లాంటివి అయింది [BREATH] and ఈ podcast already introduction అయిపెంది [COUGH] ఆ ఏం ఉండబోతుంది ఏం ఏం వచ్చింది అనీ",00000000000000000000001000000100000011000100,NULL,"Thank you very much for that support at that time. We have used the same video as a Ad and in the beginning it has become like building a profile and the introduction of this podcast is already over. What is going to happen?"
4,144.32149,157.972119,1,speech,"So point here is like ఆ మన podcast పేరు raw podcast. So ఈ దీంట్లొ ఏం ఉన్న నేను raw గా నాకు doubts ఏం ఉన్నాయో నా personal for example ఇందలో literature గురించి లేకపోతె కవిత్వం గురించి లేకపోతె movie writings గురించి కొన్ని off topics గురించి కూడ మాట్లాడదాం అనుకుంటున్నాను.",00000100000010000000000000000000000000000000,NULL,"So point here is like the name of our podcast is raw podcast. So what I have in this raw, what doubts I have, my personal example, in this I think let's talk about literature or poetry or movie writings and some off topics"
5,158.194649,158.679365,2,overlap,NULL,NULL,NULL,NULL
6,158.679365,159.108934,1,speech,"loud say",NULL,NULL,"Say loudly"
7,159.439819,159.959365,2,speech,"అల కాదు",NULL,NULL,"Not like that"
8,159.959365,168.915842,1,speech,"Yeah so to start with uncle ఆ మ్మ్చ్ న  నాకు ఏపట్నుంచో ఒక doubt ఉందనమాట ఇదీ personally గా ఎవర్నడగలో నాకు అర్ధం కాలేదు. నేను ఒకసారి Sudhala Ashok Teja గారిధి ఒకా చిన్న interview చూసా",11000011100000000000000000000000,NULL,"To start with uncle, I have always had a doubt which I personally never understood. I once watched a short interview of Mr.Suddhala Ashok Teja"
9,169.105264,186.513788,1,speech,"అందులో ఈ Saranga Dharia పాట గురించి ఆయన కొంచమ్ explain చేస్తూ ఉన్నరణమాట ఈ దాని కుడీ భుజం మీద కడవ దాని గుత్తేపురైకలు మెరియ అదీ రమ్మంటే Radura Seliya దాని పేరే Saranga Dharia దాని meaning చెప్పేటప్పుడు అంటె కడవ పెట్టుకొని water కారుతుంటే తన రైక tight గా ఉన్న రైక అంటే అ Telugu లో మనమూ రొమ్ములంటాము englishలో breast అంటాము",000000000000000000000000000000000000000000010000000,NULL,"In that, he was explaining a little bit about this Saranga Dariya song. He said that there is a pot on her right shoulder. dani gutthepuraikalu meriya adhi rammante radhu ra saliya  its name is Saranga Dariya. While he saying the meaning if you put a pot and water is falling on blouse it will be tight and in Telugu we call breast."
10,186.70321,196.901465,1,speech,"అంటామ్ [BREATH] అది tight గా అవయవాలు బయటకి కనపడ్తుంటే మెరుస్తున్నాయి water వళ్ళా అనే ఒక పదజాలం ఎదైతే ఉందో [BREATH] so of course నాకు experience లేదు but ఆ ఇలాంటివి విన్నప్పుడు definitely నాకు కొంచమ్ అరే wow ఇంతుంద meaning దీనిలో అని అర్థమైంది",110000000000000011000001000001000000,NULL,"It is tight and the organs are shining. If there's a word like water, of course I don't have experience, but when I hear something like this, I definitely feel a little wow. There's meaning in it."
11,197.121439,205.040515,1,speech,"[BREATH] కానీ ఇంకొక side ఏమనిపించిందంటే ఇదే మాటలో పద్య్ ఆ పాటలోనూ పద్యంలోనూ బావున్నై కాని అదే న normal raw తెలుగులో మాట్లాడితే తీసుకోగలుగుతారా మనుషులు.",100000011000001000000,NULL,"But what I felt on the other side is that it was good in poem and song. But If it spoken in normal raw Telegu, will people be able to take it?"
12,205.215057,206.067062,0,noise,NULL,NULL,NULL,NULL
13,206.067062,210.738503,2,speech,"దాన్నే దాన్నే softగా ఇంకొకా Telangana వ్యావహారికంలో",100100,NULL,"That's soft in Telangana colloquialism"
14,210.738503,211.034558,1,speech,hmm,1,NULL,
15,211.905306,218.064399,2,speech,"ఆ పిల్లా ఎంత బావుంటుంది అంటే, నీళ్ళు తాగితే కుతికల్ కనిపిస్తాయి.",NULL,NULL,"That girl is so good that if she drinks water, throat will be visible."
16,218.064399,218.673923,1,overlap,NULL,NULL,NULL,NULL
17,218.673923,232.634921,2,speech,"ఒక అంటే అంత transparentగా ఉంటుంది అని చెప్పడం అన్నమాట see it's వో it's how the expressions అదీ మనం ఎదైనా సరే ఆ అసయ్యకరమైన వాటిని కూడా అవ్ కప్పిచెప్పేది కవిత్వం.",11000000011000000011000100,NULL,"That meaning is so transparent to say. See, how the expressions of it's poetry that covers even those unpleasant things, no matter what we are."
18,232.97161,233.285079,1,overlap,NULL,NULL,NULL,NULL
19,233.285079,248.830839,2,speech,"ఇప్పి చెప్పేది విమర్శ. ఎంత [BREATH] దరిద్రంగా ఉన్నప్పుడు రాజులు పూర్వం కవులు వీళ్ళందరూ అన్నీ పోషించేటప్పుడూ [BREATH] మనం డబ్బులిస్తున్న వాడితో నువ్ ఏం మాట నిజ నిజంగా sir మీకు కన్ను లేకపోయినా గానీ అసలు స స సాక్షాత్తు శివుడిల ఉన్నాడు అట్లా అట్లా.",00001000000001000000100000001100010,NULL,"If you open up and say it will be criticism. What do you really say to the one we are paying when it is so poor, when the kings used to be the poets, all of them are supporting everything, sir. Even if you don't have an eye, the real reality is that of Shiva."
20,248.830839,249.341678,1,overlap,NULL,NULL,NULL,NULL
21,249.341678,250.357551,2,speech,"అల ఉన్నాయ్ కవిత్వాలు [BREATH]",0001,NULL,"That's how the poetry's are."
22,250.357551,250.81034,1,overlap,NULL,NULL,NULL,NULL
23,251.158639,258.68771,2,speech,"ఆ ఆ ఆ పొగడ్త వాళ్ళని happy చేయడం కుషీ మ్మ్చ ఆ అంటే రాజా స్థానంలో అంటే అట్లా మోధలైదనమాట.",1100000111000100,NULL,"That compliment makes them happy, That is how it started the position of the king"
24,258.68771,259.517823,1,overlap,NULL,NULL,NULL,NULL
25,259.517823,266.164535,2,speech,"ఎవరికైన ఒకటి [BREATH] పిల్లల్ని కూడా భలే చేశావు రా అంటే encouragement ఎలా ఉంటుందో [BREATH] ప్రతీ వాడికి పొగడ్త అంటే ఇష్టం.",001000000000100000,NULL,"How is encouragement for someone who has done well to children too? Everyone likes compliments."
26,266.396735,266.779864,1,speech,Right,NULL,NULL,Right
27,266.779864,271.040726,2,speech,"ఈ పొగడ్తనే transfer కొంచెం కొంచెం high level కెల్లేటప్పుడది కవిత్వం అయింది.",0001000000,NULL,"The transfer of this praise is a bit high level and it became poetry."
28,271.10458,271.354195,1,speech,Right,NULL,NULL,Right
29,271.354195,273.970327,2,speech,"అందుకే చెప్పాను విప్పీ కప్పిచెప్పేది కవిత్వం.",00100,NULL,"That's why I said that poetry is what covers all the words."
30,274.13484,275.649491,1,overlap,NULL,NULL,NULL,NULL
31,275.649491,277.243562,2,speech,"but ఆ ఆ అదీ అది పద్ధతి",011100,NULL,"But that's the method"
32,277.243562,285.41814,1,speech,"ఇప్పుడు అంటే ఆ ఇట్లా ఇట్లాంటివి తీసుకునే అంత thought process నేన్ ఎప్పుడు అంటే ఇవాల రేపు చూస్తున్న దాని బట్టి అయితే ఛాప్ ఆష్ youngsters ఎవరైతే ఉన్న కూడా పాటలు వింటరు.",00110000000000000011000000,NULL,"Now that is the thought process of taking things like this, depending on while I am watching them now a days the youngsters will listen to the songs regardless of who they are."
33,285.744329,286.513,2,overlap,NULL,NULL,NULL,NULL
34,286.513,287.247634,1,speech,"వినడం ఆపేసారు.",NULL,NULL,"Stopped listening"
35,288.033324,291.40867,2,speech,"వినడం ఆపేసారు ఇంకోటేంటంటే ఏ పాటనైనా అడుగు వాళ్ళు",NULL,NULL,"They stopped listening and asked for any song"
36,291.40867,291.72635,1,speech,hmm,1,NULL,
37,291.754714,292.43262,2,speech,"Pallavi చెప్తారు.",NULL,NULL,"Says only Pallavi"
38,292.738954,293.24951,1,speech,Rightష్,NULL,NULL,right
39,293.555844,294.744306,2,speech,"Shankarabharanam చెప్పినా",NULL,NULL,"Shankarabharanam says"
40,294.954202,296.826243,1,overlap,NULL,NULL,NULL,NULL
41,296.826243,298.065214,2,speech,"మనం అదే అదే  ఇప్పుడు చేస్తున్న",010000,NULL,"That is what we are doing now"
42,298.065214,298.584597,1,overlap,NULL,NULL,NULL,NULL
43,298.584597,303.154308,2,speech,"పా లోపలికి వెళ్లడం ఆ in depth వెళ్లడం అనేదీ చాలా కష్టం.",1111000000,NULL,"Going in depth is very difficult."
44,303.216709,303.775485,1,overlap,NULL,NULL,NULL,NULL
45,303.775485,305.664544,2,speech,"స్స్స్ he has the taste towards it",1000000,NULL,"He has the taste towards it"
