orderNo,startTime,endTime,speaker,contentType,transcript,disfluency1,disfluency2,translation
1,206.473277,207.21802,1,speech,"Hello sir",NULL,NULL,"Hello sir"
2,207.293793,207.516783,2,speech,Hello,NULL,NULL,Hello
3,207.516783,209.064723,1,speech,"thank you very much for accepting the invite",NULL,NULL,"Thank you very much for accepting the invite."
4,209.114517,209.781321,2,speech,"Hi Vamshi",NULL,NULL,"Hi Vamshi"
5,209.82462,212.879366,1,speech,"Yeah sir first ఆ అంటె already introductionలో చెప్పాను",00010000,NULL,"Yeah sir. First, I already said in the introduction"
6,212.879366,213.561325,2,overlap,NULL,NULL,NULL,NULL
7,213.608954,216.341121,1,speech,"first of all నేను మిమ్మల్ని ఎక్కడ విన్నాను మీ గురించి అనేది ఒక చిన్న ఎం",0000000001111,NULL,"First of all, from where I heard about you,"
8,216.341121,217.362978,2,overlap,NULL,NULL,NULL,NULL
9,217.642257,219.822362,1,speech,"ఆ స్స్ ఏదో త తెలుగు popular channel ఏ",11010001,NULL,"Some Telugu popular channel"
10,219.837516,220.257517,2,overlap,NULL,NULL,NULL,NULL
11,220.266177,220.850713,1,speech,"ఒక CA",NULL,NULL,"a CA"
12,221.034734,221.389786,2,overlap,NULL,NULL,NULL,NULL
13,221.469889,222.316385,1,speech,"Famous CAనే అతను",NULL,NULL,"He is a famous CA"
14,222.366179,222.658447,2,speech,hmm,1,NULL,
15,222.658447,226.570513,1,speech,"అయన మాట్లాడుతూ ఆ అ హై hitech city inseption ఎలా అయింది",0011100000,NULL,"He said how Hi-tech city inspection was happened"
16,226.600822,226.862781,2,speech,hmm,1,NULL,
17,226.862781,229.52567,1,speech,"Hi-tech city ఇంత successfulగ ఎలా ఉంది అని మాట్లాడేటప్పుడు",NULL,NULL,"While talking about how Hi-Tech City is so successful,"
18,229.52567,229.74866,2,speech,hmm,1,NULL,
19,229.74866,230.735877,1,speech,"చాల ferociousగ మాట్లాడుతున్నారు",NULL,NULL,"Talking very ferociously"
20,230.735877,231.110414,2,speech,hmm,1,NULL,
21,231.547734,233.632581,1,speech,"surprisingly ఏ politician పేరు చెప్పకుండా",NULL,NULL,"Surprisingly without naming any politician"
22,233.632581,233.849076,2,speech,హా,NULL,NULL,Yes
23,233.849076,236.091965,1,speech,"or ఎ ఎలాంటి celebrity పేరు చెప్పకుండా",010000,NULL,"Or without mentioning the name of any celebrity"
24,236.128769,236.364749,2,speech,హా,NULL,NULL,Yes
25,236.364749,237.120316,1,speech,"ఒక ముగ్గురు పేర్లు చెప్పారు",NULL,NULL,"Three names were said"
26,237.154956,237.577121,2,speech,హా,NULL,NULL,Yes
27,237.577121,238.712467,1,speech,"అందలో key name మీది ఉంది అనమా~",000001,NULL,"In that case, the key name is yours."
28,238.712467,239.16836,2,speech,హా,NULL,NULL,Yes
29,239.345885,239.930422,1,speech,"అప్పుడు విన్నాను sir",NULL,NULL,"Then I heard sir"
30,239.930422,240.426196,2,overlap,NULL,NULL,NULL,NULL
31,240.426196,243.517745,1,speech,"unfortunately ఇంత ఇన్ని రోజుల తరవాత విన్నాను అయన గురించి అని అప్పుడు తెలిసింది నాకు",010000001000,NULL,"Unfortunately,I heard about him after so many days. Then I knew"
32,243.569704,244.840589,2,overlap,NULL,NULL,NULL,NULL
33,244.840589,246.332236,1,speech,"అప్పట్నుంచి I thought like I'll meet you",0001000,NULL,"Since then I thought I'll meet you"
34,246.332236,246.649765,2,overlap,NULL,NULL,NULL,NULL
35,246.649765,250.543009,1,speech,"ఎప్పుడన్నా కలవాలి మీ గురుంచి వినాలి అస్సలు మీతో మీ దెగ్గర నుంచి తెలుసుకోవాలి అస్సలు ఎలా start అయింది ఈ hi-tech  city అనేది",00000000000100010000,NULL,"Whenever I want to meet you and hear about you, I really want to know from you about how hi-tech city started."
36,250.543009,250.869508,2,speech,hmm,1,NULL,
37,250.869508,252.230128,1,speech,"Because ప్రతి ఒక్కరికి ఒక",NULL,NULL,"Because for everyone a"
38,252.230128,252.562279,2,overlap,NULL,NULL,NULL,NULL
39,252.570283,254.995388,1,speech,"తెలుసు కానీ కింద ground levelలో ఉన్న వాళ్ళ గురించి ఎవరికీ తెలీదు",NULL,NULL,"Know but no one knows about those who are in below ground level"
40,254.995388,255.496416,2,speech,"లేపు లేదు",10,NULL,No
41,255.496416,257.867037,1,speech,"or main streamలో అ చేస్తున్న వాళ్ళ గురించి",0001000,NULL,"Or about those who are doing in main stream"
42,258.070542,258.38446,2,speech,hmm,1,NULL,
43,258.38446,260.698792,1,speech,"Theme గా కనపడే వాళ్ళ గురించి తెలుస్తది వెనకల ఉన్న వాళ్ళ గురించి తెలీదు",NULL,NULL,"Known about those who appear in theme,not known about those who are behind"
44,260.772401,261.088483,2,speech,correct,NULL,NULL,correct
45,261.088483,263.428795,1,speech,"so అందుకే మిమ్మల్ని ఒకసారి అస్సలు Hi-tech city ఎలా start అయింది",0111100000,NULL,"So how did Hi-tech City start?"
46,263.513228,263.848795,2,overlap,NULL,NULL,NULL,NULL
