startTime,endTime,speaker,contentType,transcript,disfluency1,disfluency2,translation
60.409143,62.145847,1,speech,"Hello! Sourabh और Khyati कैसे हैं आप?",,,"Hello, Sourabh and Khyati! How are you?"
62.381367,63.98222,2,speech,"बस बढ़िया Pranay, Khyati तुम बताओ",,,"All well, Pranay! Khyati, you tell."
64.275084,73.949154,3,speech,"बस, मैं तो ठीक हु, हमारे audience में हमेशा हमे request आती रहती है की technical Puliyabaazi और की जाए। तो आज कुछ technical विषय पे बात हो जाए।",,,"I'm just fine! We get requests from the audience that we must do more technical Puliyabaazi. So, let's have a discussion on some technical topics."
74.132108,85.1483,2,speech,"हां आज हम करेगें ना आज aa हमलोगो ने बोहोत पहले पता नही हमारी जो long term audience होगी उनको याद होगा episode पचपन में हमलोगो ने electric vehicles और batteries पर aa Rahul Raj के साथ episode किया था।",0000001110000000000000000000000010000000,,"Yes, of course we will do it today. I don't know whether our long-term audience can remember that earlier in our 55th episode, we had a discussion with Rahul Raj on electric vehicles and batteries."
85.795468,98.28077,2,speech,"aa लेकिन आज हम उस विषय में और भीतर तक घुसेंगे, अंदर तक जाएंगे, और battery से जा करके battery का जो component होता है cell उसकी तरफ जाएंगे और उसके लिए हमारे पास एकदम perfect guest है आज Apoorv Shaligram",10000000000111000000000000000000000000000,,"But today, we will go deep into that topic, and starting from the battery, we will go towards the cell, the component of the battery. And for that, today we have the perfect guest, Apoorv Shaligram."
98.299943,107.209143,2,speech,"जो की Eternal Energy के Co-founder है और वहा पे वो एक नए प्रकार का Lithium-ion cell बना रहे है, तो स्वागत है Apoorv आपका Puliyabaazi में।",,,"Who is the co-founder of 'Eternal Energy', and there he is inventing a new type of Lithium-ion cell. So, Apoorv, welcome to the Puliyabaazi."
107.291547,111.28001,4,speech,"Thanks Sourabh, thanks Pranay, thanks Khyati, बोहोत अच्छा लगा",,,"Thanks Sourabh! Thanks Pranay! Thanks Khyati! Felt so good!"
111.487144,112.353331,2,overlap,,,,
112.44807,127.060021,2,speech,"तो जैसा हम अक्सर करते है, Apoorv aa शुरू से शुरूवात करते है typically तो battery वगेरह के बारे में हमने काफी discuss किया और काफी [BABBLE] context लगा ने के लिए आपने श्रोताओ को बता दू भई battery हम आम भाषा में अक्सर battery cell पर्यावाची की तरह use करता है।",0000000100000000000000000010000000000110000000000000,,"So Apoorv, as we always do, let's typically start from the beginning. So, we have already done enough discussion on batteries, etc., and for enough context, let me tell our audiences that in general language, we often use 'Battery' and 'Cell' synonymously."
127.218042,133.972166,2,speech,"लेकिन aa technically जो है एक battery जो है वो cell का समूह होता है तो खूब सारे cell ओ को जोड़ दें तो battery बन जाए।",010110011100000000000000000,,"But technically, a battery is a combination of many numbers of cells. So, if we combine a number of cells, then that will form a battery."
